3.85	8.06
4.94	8.61
6.29	9.95
3.45	7.62
3.58	6.56
1.99	5.86
3.04	6.94
4.24	7.72
3.48	7.2
4.36	5.98
3.96	7.3
4.01	8.31
4.09	6.93
4.59	7
2.08	6.58
5.94	6.63
5.57	8.25
2.54	9.4
4.91	8.49
2.33	6.74
3.72	5.88
4.11	9.22
6.91	7.93
5.96	7.43
4.07	6.82
8.92	9.62
5.51	8.14
2.86	6.65
3.83	7.3
2.58	7.33
3.19	7.13
5.23	9.37
2.01	6.03
5.45	7.3
2.92	6.76
2.96	6.58
3.51	7.83
4.37	8.36
4.72	6.42
3.62	7.14
6.5	7.5
2.94	7.34
4.43	8.01
4.33	7.07
2.74	7.69
3.3	6.76
6.08	5.98
2.13	6.32
3.72	8.05
3.29	8.55
2.97	6.8
2.14	6.55
2.73	7.71
3	7.11
3.93	7.35
4.08	6.26
4.88	8.2
