5.91	8.24
8.72	5.94
4.55	7.02
3.91	7.42
5.45	7.57
5.04	8.85
4.85	8.14
3.66	7.37
5.48	7.88
4.89	8.72
5.05	8.21
4.35	6.62
5.61	6.87
3.25	5.56
4.93	8.12
8.3	6.35
2.51	5.6
6.08	6.13
4.75	7.62
5.21	8.04
3.25	7.43
5.03	9.06
4.07	7.6
6.91	6.13
3.88	8.17
4.37	5.79
5.01	6.76
3.34	7.05
5.23	7.5
4.49	6.53
3.78	7.36
5.54	4.37
3.58	7.4
5.14	7.81
9.3	4.79
4.56	7.98
7.13	6.68
4.32	7.26
5.04	8.44
2.5	5.53
4.1	6.08
3.72	7.52
4.53	7.5
3.8	8.31
4.8	7.36
4.9	8.85
5.68	6.85
4.41	7.47
5.5	7.64
4.31	6.97
4.27	7.85
6.06	6.8
