403	102.6	27
413	103	23
423	102.9	25
384	95.9	31
416	98.1	31
407	100.8	25
392	100.4	21
399	103.4	26
375	93.7	25
414	102.3	24
368	103.5	38
401	102.2	34
354	96.3	33
403	99.3	30
402	101.2	29
425	107.3	22
393	102.9	22
362	96.7	36
400	100.4	32
408	103.7	26
409	102.7	31
414	107.1	23
349	95.2	26
372	104.2	46
418	105.6	27
342	94	37
429	106.8	33
406	104	27
405	103.2	26
409	103.2	33
401	102.1	30
430	106	24
397	103.5	32
440	101.5	29
374	90.2	33
378	99.2	31
396	100.9	32
373	103	41
413	105.4	37
389	101.4	34
411	104.7	31
403	104.5	22
385	101.5	22
419	101.4	27
428	105.3	28
387	101.1	30
399	103.6	32
379	100.5	38
384	104	41
395	105	29
406	105.3	24
393	106.8	26
404	97.8	27
403	103	25
363	106.9	19
404	101.5	27
399	101.1	28
418	105.7	25
432	106.6	23
395	99.4	36
347	95.2	25
363	102.6	24
402	105	34
366	97.6	35
395	95.3	35
420	102.8	35
403	105.6	28
363	95.3	32
392	101.8	36
378	98.2	33
431	106.3	28
382	106	26
375	104.2	25
390	103.6	21
395	96.6	28
375	97.8	35
374	102.3	25
429	105	28
414	101.7	23
409	102.4	28
426	105.3	23
402	102.2	33
394	98.4	28
395	104.1	19
404	97.3	31
420	104.6	23
365	94.1	30
407	103.2	29
