405	105.5	19
441	103.7	32
426	103.3	25
428	101.8	27
395	97.6	34
364	105.7	18
430	102.2	34
392	98.5	26
394	98.3	22
463	107.7	28
399	107.2	19
407	97.1	27
371	91.5	28
416	100.5	25
435	104.7	31
423	99.5	30
424	100.8	31
424	99.8	34
400	102.8	26
423	98.6	25
431	104.9	33
432	105	27
413	100.4	32
394	95.1	31
419	100.9	34
412	109.9	22
402	101.6	33
419	103.3	28
374	103.9	21
376	98.2	33
423	101.3	27
464	108.5	30
440	103.3	23
438	100.7	33
370	96.1	35
454	105.5	29
412	97.1	28
419	101	27
415	108.7	24
420	104.8	38
387	93.7	33
434	103.6	28
439	109.2	27
370	100.2	23
447	104.8	34
449	107.7	27
425	103.8	26
370	107.1	21
370	93.6	31
387	99.7	27
430	104.5	32
438	104.2	25
428	103.9	24
436	103.8	28
433	104	24
412	98.3	27
431	102.4	27
407	101.5	28
423	99.9	25
436	101.9	34
403	98.3	33
450	104.3	31
374	93.2	33
456	104.2	31
386	96.5	37
408	106.4	31
405	101	29
431	103.7	23
460	101	26
424	102.5	25
444	103.9	35
434	103	30
402	98	24
449	104.1	37
444	104.8	29
431	101.5	38
456	106.6	25
431	101.4	35
432	102.3	24
401	100.1	30
441	98.5	29
409	105.9	21
382	95.2	26
427	99.8	28
405	101.6	25
380	100.3	25
402	97.3	26
400	97.8	30
433	101.3	25
435	102.9	27
410	100.6	35
392	102.5	22
462	104.6	29
426	108.3	37
425	102.6	36
410	103.9	26
410	107	22
401	105.2	41
423	103.3	36
442	102.8	28
434	102.2	32
417	104.7	39
405	106.2	22
393	102.8	21
456	105.8	25
433	102	35
444	104	42
429	100.2	38
441	102.2	34
432	101.6	28
431	102.1	22
404	102.3	34
447	103.2	31
